DATE,LATITUDE,LONGITUDE,SEA_LVL_PRES,SST_MM,SEA_SURF_TEMP,WAVE_PERIOD,WAVE_HGT
2013-09-29,37.54,130.0,10155.739130434782,9.0,240.08333333333334,5.125,1.9583333333333333
2013-09-30,37.54,130.0,10175.55,9.0,247.2173913043478,6.130434782608695,3.260869565217391
2013-10-01,37.54,130.0,10145.291666666666,9.0,244.91666666666666,7.125,2.5833333333333335
2013-10-02,37.54,130.0,10114.285714285714,9.0,248.45833333333334,7.625,3.0833333333333335
2013-10-03,37.54,130.0,10169.541666666666,9.0,246.25,6.708333333333333,2.5416666666666665
2013-10-04,37.54,130.0,10215.727272727272,9.0,238.16666666666666,5.458333333333333,1.125
2013-10-05,37.54,130.0,10242.857142857143,9.0,242.2173913043478,5.086956521739131,1.608695652173913
2013-10-06,37.54,130.0,10246.95,9.0,242.5,5.583333333333333,2.625
2013-10-07,37.54,130.0,10184.380952380952,9.0,239.83333333333334,5.916666666666667,1.4166666666666667
2013-10-08,37.54,130.0,10126.217391304348,9.0,238.5,6.458333333333333,4.958333333333333
2013-10-09,37.54,130.0,10152.90909090909,9.0,240.70833333333334,8.208333333333334,4.375
2013-10-10,37.54,130.0,10114.916666666666,9.0,245.83333333333334,7.041666666666667,2.2916666666666665
2013-10-11,37.54,130.0,10091.304347826086,9.0,242.45833333333334,5.375,3.6666666666666665
2013-10-12,37.54,130.0,10180.04347826087,9.0,238.08333333333334,6.458333333333333,2.9166666666666665
2013-10-13,37.54,130.0,10215.782608695652,9.0,240.04166666666666,5.291666666666667,1.8333333333333333
2013-10-14,37.54,130.0,10166.055555555555,9.0,240.52380952380952,4.523809523809524,2.380952380952381
2013-10-15,37.54,130.0,10171.0,9.0,230.875,9.333333333333334,9.541666666666666
2013-10-16,37.54,130.0,10233.25,9.0,219.08333333333334,9.666666666666666,7.125
2013-10-17,37.54,130.0,10276.666666666666,9.0,227.33333333333334,10.416666666666666,4.458333333333333
2013-10-18,37.54,130.0,10291.45,9.0,226.1304347826087,7.826086956521739,2.347826086956522
2013-10-19,37.54,130.0,10247.761904761905,9.0,223.95833333333334,6.333333333333333,2.1666666666666665
2013-10-20,37.54,130.0,10184.291666666666,9.0,215.45833333333334,6.208333333333333,3.9583333333333335
2013-10-21,37.54,130.0,10212.826086956522,9.0,210.45833333333334,6.416666666666667,4.083333333333333
2013-10-22,37.54,130.0,10233.454545454546,9.0,209.45833333333334,7.708333333333333,4.333333333333333
2013-10-23,37.54,130.0,10200.217391304348,9.0,208.5,7.833333333333333,3.75
2013-10-24,37.54,130.0,10143.478260869566,9.0,205.33333333333334,6.791666666666667,2.9166666666666665
2013-10-25,37.54,130.0,10140.95652173913,9.0,200.5,7.25,3.75
2013-10-26,37.54,130.0,10146.78947368421,9.0,196.58333333333334,7.416666666666667,3.7083333333333335
2013-10-27,37.54,130.0,10213.863636363636,9.0,204.125,6.958333333333333,2.2083333333333335
2013-10-28,37.54,130.0,10227.666666666666,9.0,206.54166666666666,8.625,2.0
2013-10-29,37.54,130.0,10192.681818181818,9.0,203.70833333333334,6.833333333333333,1.7916666666666667
2013-10-30,37.54,130.0,10244.08695652174,9.0,197.54166666666666,6.666666666666667,3.0416666666666665
2013-10-31,37.54,130.0,10233.318181818182,9.0,199.70833333333334,5.5,1.7083333333333333
2013-11-01,37.54,130.0,10257.47619047619,9.0,203.33333333333334,3.2916666666666665,1.3333333333333333
2013-11-02,37.54,130.0,10191.6,9.0,202.375,3.9583333333333335,1.7916666666666667
2013-11-03,37.54,130.0,10173.434782608696,9.0,200.16666666666666,4.916666666666667,1.625
2013-11-04,37.54,130.0,10246.478260869566,9.0,202.0,6.0,2.8333333333333335
2013-11-05,37.54,130.0,10234.5,9.0,192.79166666666666,4.75,2.0833333333333335
2013-11-06,37.54,130.0,10157.35,9.0,193.95833333333334,4.333333333333333,2.0
2013-11-07,37.54,130.0,10168.869565217392,9.0,190.20833333333334,6.375,3.1666666666666665
2013-11-08,37.54,130.0,10243.727272727272,9.0,188.33333333333334,7.166666666666667,4.083333333333333
2013-11-09,37.54,130.0,10165.15,9.0,189.08333333333334,6.791666666666667,3.2916666666666665
